,event_date,event_start_time,event_end_time,delay_data,capa_data
0,2024-01-14,2024-01-14 13:08,2024-01-14 14:00,"-AREA:FINISHING AREA
-DEVICE:TWIN CHANNEL 2 B
-AGENCY:MECHANICAL
-REASON:MATERIAL HIT
-DESCRIPTION:UNDERSHOOT IN LINE.2B DUE TO TWC FLAPPER GUIDE BROKEN.(1C+1H).
-SIZE:10 mm
-BILLET SIZE:150X150
-DURATION:51","-EQUIPMENT:TWIN CHANNEL 2 B
-SECTION:10 mm
-PROBLEM DESCRIPTION:UNDERSHOOT IN LINE.2B DUE TO TWC FLAPPER GUIDE BROKEN.(1C+1H).
-RESTART STEPS:COBBLE MATRIAL REMOVED AND DUE TO COBBLE 1 FLAPPER FOUND BROKEN  SO FLAPPER CHANGED AND MILL STARTED
-1Y:UNDERSHOOT IN TAILBRAKER 2B
-2Y:MATERIAL ACCUMULATE IN LINE 2B 
-3Y:MATERIAL FOUND STUCK IN 84 METER
-4Y:nan
-5Y:nan
-CORRECTIVE ACTION:nan
-PREVENTIVE ACTION:nan
-ACTUAL ACTION TAKEN:nan"
1,2024-01-15,2024-01-15 10:05,2024-01-15 10:24,"-AREA:FINISHING AREA
-DEVICE:TWIN CHANNEL 2 B
-AGENCY:MECHANICAL
-REASON:MATERIAL HIT
-DESCRIPTION:COBBLE IN TWIN CHANNEL 2B DUE TO MATERIAL HIT. (1C+1H)
-SIZE:10 mm
-BILLET SIZE:150X150
-DURATION:19","-EQUIPMENT:TWIN CHANNEL 2 B
-SECTION:10 mm
-PROBLEM DESCRIPTION:COBBLE IN TWIN CHANNEL 2B DUE TO MATERIAL HIT. (1C+1H)
-RESTART STEPS:MATERIAL REMOVED AND MILL STARTED
-1Y:UNDERSHOOT IN LINE 1 A
-2Y:MATERIAL HIT IN TWIN CHANNEL 1 A (APP. 10 MTR FROM ENTRY)
-3Y:FLAPPER & LOCK POSITION NOT OK
-4Y:nan
-5Y:nan
-CORRECTIVE ACTION:1. EVERY MONTH FLAPPER AND DOG POSITION TO BE CHECKED FOR ANY DEVIATION AS PER PM PLAN
-PREVENTIVE ACTION:1. EVERY MONTH FLAPPER AND DOG POSITION TO BE CHECKED FOR ANY DEVIATION AS PER PM PLAN
-ACTUAL ACTION TAKEN:nan"
2,2024-01-17,2024-01-17 19:28,2024-01-17 19:48,"-AREA:COOLING BED
-DEVICE:TWIN CHANNEL 1 A
-AGENCY:MECHANICAL
-REASON:MATERIAL HIT
-DESCRIPTION:COBBLE IN LINE 1A DUE TO MATERIAL HEAD HIT IN TWIN CHANNEL 1A,  (1C+1H)
-SIZE:8 mm
-BILLET SIZE:165X165
-DURATION:21","-EQUIPMENT:TWIN CHANNEL 1 A
-SECTION:8 mm
-PROBLEM DESCRIPTION:COBBLE IN LINE 1A DUE TO MATERIAL HEAD HIT IN TWIN CHANNEL 1A,  (1C+1H)
-RESTART STEPS:MATERIAL REMOVED AND MILL STARTED
-1Y:UNDERSHOOT IN LINE 1 A
-2Y:MATERIAL HIT IN TWIN CHANNEL 1 A (APP. 10 MTR FROM ENTRY)
-3Y:FLAPPER & LOCK POSITION NOT OK
-4Y:nan
-5Y:nan
-CORRECTIVE ACTION:1. EVERY MONTH FLAPPER AND DOG POSITION TO BE CHECKED FOR ANY DEVIATION AS PER PM PLAN
-PREVENTIVE ACTION:1. EVERY MONTH FLAPPER AND DOG POSITION TO BE CHECKED FOR ANY DEVIATION AS PER PM PLAN
-ACTUAL ACTION TAKEN:nan"
3,2024-01-18,2024-01-18 08:22,2024-01-18 08:30,"-AREA:COOLING BED
-DEVICE:TWIN CHANNEL 1 A
-AGENCY:MECHANICAL
-REASON:MATERIAL HIT
-DESCRIPTION:UNDERSHOOT IN LINE 1A DUE TO MATERIAL HIT AT TWIN CHANNAL.
-SIZE:8 mm
-BILLET SIZE:165X165
-DURATION:8","-EQUIPMENT:nan
-SECTION:nan
-PROBLEM DESCRIPTION:nan
-RESTART STEPS:nan
-1Y:nan
-2Y:nan
-3Y:nan
-4Y:nan
-5Y:nan
-CORRECTIVE ACTION:nan
-PREVENTIVE ACTION:nan
-ACTUAL ACTION TAKEN:nan"
4,2024-01-18,2024-01-18 11:56,2024-01-18 12:20,"-AREA:COOLING BED
-DEVICE:TWIN CHANNEL 1 A
-AGENCY:MECHANICAL
-REASON:MATERIAL HIT
-DESCRIPTION:UNDERSHOOT IN LINE 1A DUE TO MATERIAL HIT AT TWIN CHANNAL.
-SIZE:8 mm
-BILLET SIZE:150X150
-DURATION:24","-EQUIPMENT:TWIN CHANNEL 1 A
-SECTION:8 mm
-PROBLEM DESCRIPTION:MATERIAL HIT
-RESTART STEPS:MATERIAL REMOVED AND MILL STARTED
-1Y:UNDERSHOOT IN LINE 1 A
-2Y:MATERIAL HIT IN TWIN CHANNEL 1 A (APP. 3 MTR FROM ENTRY)
-3Y:WAVINESS FOUND IN MATERIAL DURING COBBLE
-4Y:nan
-5Y:nan
-CORRECTIVE ACTION:1. EVERY MONTH FLAPPER AND DOG POSITION TO BE CHECKED FOR ANY DEVIATION AS PER PM PLAN
-PREVENTIVE ACTION:1. EVERY MONTH FLAPPER AND DOG POSITION TO BE CHECKED FOR ANY DEVIATION AS PER PM PLAN
-ACTUAL ACTION TAKEN:nan"
5,2024-01-18,2024-01-18 19:37,2024-01-18 20:01,"-AREA:COOLING BED
-DEVICE:TWIN CHANNEL 1 A
-AGENCY:MECHANICAL
-REASON:MATERIAL HIT
-DESCRIPTION:BAR HIT AT TWC 1A AT 93 M AFTER ROLLING 60% SO HALF COBBLE AND 1 CHOPPED
-SIZE:8 mm
-BILLET SIZE:165X165
-DURATION:25","-EQUIPMENT:TWIN CHANNEL 1 A
-SECTION:8 mm
-PROBLEM DESCRIPTION:COBBLE IN LINE 1A DUE TO MATERIAL HEAD HIT IN TWIN CHANNEL 1A,  (1C+1H)
-RESTART STEPS:MATERIAL REMOVED AND MILL STARTED
-1Y:UNDERSHOOT IN LINE 1 A
-2Y:MATERIAL HIT IN TWIN CHANNEL 1 A (APP. 64 MTR FROM ENTRY)
-3Y:WAVINESS FOUND IN MATERIAL DURING COBBLE
-4Y:nan
-5Y:nan
-CORRECTIVE ACTION:1. EVERY MONTH FLAPPER AND DOG POSITION TO BE CHECKED FOR ANY DEVIATION AS PER PM PLAN
-PREVENTIVE ACTION:1. EVERY MONTH FLAPPER AND DOG POSITION TO BE CHECKED FOR ANY DEVIATION AS PER PM PLAN
-ACTUAL ACTION TAKEN:nan"
6,2024-01-19,2024-01-19 00:30,2024-01-19 00:52,"-AREA:COOLING BED
-DEVICE:TWIN CHANNEL 1 A
-AGENCY:MECHANICAL
-REASON:MATERIAL HIT
-DESCRIPTION:BAR HIT AT TWC1A
-SIZE:8 mm
-BILLET SIZE:165X165
-DURATION:23","-EQUIPMENT:TWIN CHANNEL 1 A
-SECTION:8 mm
-PROBLEM DESCRIPTION:BAR HIT AT TWC1A
-RESTART STEPS:MATERIAL REMOVED AND MILL STARTED
-1Y:UNDERSHOOT IN LINE 1 A
-2Y:MATERIAL HIT IN TWIN CHANNEL 1 A (APP. 62 MTR FROM ENTRY)
-3Y:WAVINESS FOUND IN MATERIAL DURING COBBLE
-4Y:nan
-5Y:nan
-CORRECTIVE ACTION:1. EVERY MONTH FLAPPER AND DOG POSITION TO BE CHECKED FOR ANY DEVIATION AS PER PM PLAN
-PREVENTIVE ACTION:1. EVERY MONTH FLAPPER AND DOG POSITION TO BE CHECKED FOR ANY DEVIATION AS PER PM PLAN
-ACTUAL ACTION TAKEN:nan"
7,2024-01-19,2024-01-19 03:54,2024-01-19 04:15,"-AREA:COOLING BED
-DEVICE:TWIN CHANNEL 1 A
-AGENCY:MECHANICAL
-REASON:MATERIAL HIT
-DESCRIPTION:BAR HIT AT TWC1A
-SIZE:8 mm
-BILLET SIZE:150X150
-DURATION:21","-EQUIPMENT:TWIN CHANNEL 1 A
-SECTION:8 mm
-PROBLEM DESCRIPTION:BAR HIT AT TWC1A
-RESTART STEPS:MATERIAL REMOVED AND MILL STARTED
-1Y:UNDERSHOOT IN LINE 1 A
-2Y:MATERIAL HIT IN TWIN CHANNEL 1 A (APP. 62 MTR FROM ENTRY)
-3Y:WAVINESS FOUND IN MATERIAL DURING COBBLE
-4Y:nan
-5Y:nan
-CORRECTIVE ACTION:1. EVERY MONTH FLAPPER AND DOG POSITION TO BE CHECKED FOR ANY DEVIATION AS PER PM PLAN
-PREVENTIVE ACTION:1. EVERY MONTH FLAPPER AND DOG POSITION TO BE CHECKED FOR ANY DEVIATION AS PER PM PLAN
-ACTUAL ACTION TAKEN:nan"
8,2024-01-30,2024-01-30 20:16,2024-01-30 20:30,"-AREA:COOLING BED
-DEVICE:TAIL BREAKER 2_2B
-AGENCY:OPERATION
-REASON:Roll Open/Close Valve Malfunction
-DESCRIPTION:OVERSHOOT IN TB.2B. DUE TO CALLIBRATED SPEED DROP IN LINE.2. (1C)
-SIZE:12 mm
-BILLET SIZE:165X165
-DURATION:14","-EQUIPMENT:TAIL BREAKER 2_2A
-SECTION:12 mm
-PROBLEM DESCRIPTION:OVERSHOOT IN TB.2B. DUE TO CALLIBRATED SPEED DROP IN LINE.2. (1C)
-RESTART STEPS:COBBLE REMOVED AND MILL STARTED RING HEAT AND MASTER SPEED DECREASE 
-1Y:COBBLE IN TAIL BRAKER 
-2Y:OVERSHOOT IN TAILBRAKER 2B
-3Y:TAILBRAKER 2B RING NOT HOLD THE MATERIAL
-4Y:nan
-5Y:nan
-CORRECTIVE ACTION:1. To ensure   calibrated speed  is ok or not when this type of cobble happens
2. Proper ring heating is required 
-PREVENTIVE ACTION:1. Bgv drain line to be cleaned regularly to avoid accumulation of scales
2. Scedule to be done to clean breakout box to prevent water coming in front of HMD-21
-ACTUAL ACTION TAKEN:nan"
9,2024-02-03,2024-02-03 07:01,2024-02-03 07:30,"-AREA:COOLING BED
-DEVICE:TAIL BREAKER 2_2A
-AGENCY:MECHANICAL
-REASON:High pressure Valve Malfunctioning
-DESCRIPTION:OVERHOOT AT LINE 2A DUE TAIL BRAKER PRESSURE NOT OK
-SIZE:14 mm
-BILLET SIZE:150X150
-DURATION:28","-EQUIPMENT:nan
-SECTION:nan
-PROBLEM DESCRIPTION:nan
-RESTART STEPS:nan
-1Y:nan
-2Y:nan
-3Y:nan
-4Y:nan
-5Y:nan
-CORRECTIVE ACTION:nan
-PREVENTIVE ACTION:nan
-ACTUAL ACTION TAKEN:nan"
10,2024-02-13,2024-02-13 06:17,2024-02-13 06:30,"-AREA:COOLING BED
-DEVICE:TAIL BREAKER 2_2B
-AGENCY:MECHANICAL
-REASON:Oil Leakage /Seal damage
-DESCRIPTION:OVERSHOOT IN LINE 2B DUE TO MATERIAL GOES OUT BEFORE BRAKING. (1 C+1H)
-SIZE:12 mm
-BILLET SIZE:165X165
-DURATION:13","-EQUIPMENT:TAIL BREAKER 2_2B
-SECTION:12 mm
-PROBLEM DESCRIPTION:OVERSHOOT IN LINE 2B DUE TO MATERIAL GOES OUT BEFORE BRAKING. (1 C+1H)
-RESTART STEPS:OVERSHOOT REMOVED AND MILL STARTED
-1Y:1ST PIECE OVERSHOOT AFTER MILL STOPPAGE
-2Y:MATERIAL BRAKING DIDNOT HAPPENED
-3Y:OIL LEAKGE FROM TB2-2B FROM BOTTOM RING
-4Y:OIL SEAL DAMAGE IN GEARBOX
-5Y:nan
-CORRECTIVE ACTION:1. WHENEVER MILL STOPPED  , RINGS TO BE HEATED DURING SIMULATION

-PREVENTIVE ACTION:1. OIL SEALS TO BE REPLACED  DURING NEXT OPPURTUNITY
2. SEAL QUALITY TO BE CHECKED
-ACTUAL ACTION TAKEN:nan"
11,2024-02-15,2024-02-15 00:09,2024-02-15 00:24,"-AREA:COOLING BED
-DEVICE:TWIN CHANNEL 2 B
-AGENCY:MECHANICAL
-REASON:MATERIAL HIT
-DESCRIPTION:FRONT HIT IN TWC 2B, UNDERSHOOT IN LINE 2B.
-SIZE:10 mm
-BILLET SIZE:165X165
-DURATION:15","-EQUIPMENT:TWIN CHANNEL 2 B
-SECTION:10 mm
-PROBLEM DESCRIPTION:FRONT HIT IN TWC 2B, UNDERSHOOT IN LINE 2B.
-RESTART STEPS:nan
-1Y:nan
-2Y:nan
-3Y:nan
-4Y:nan
-5Y:nan
-CORRECTIVE ACTION:nan
-PREVENTIVE ACTION:nan
-ACTUAL ACTION TAKEN:nan"
12,2024-02-27,2024-02-27 13:45,2024-02-27 14:08,"-AREA:COOLING BED
-DEVICE:TAIL BRAKER 1B
-AGENCY:ELECTRICAL
-REASON:POSITION OUT
-DESCRIPTION:COBBLE DUE TO TAIL BRAKER 1B OUT OF POSITION.
-SIZE:16 mm
-BILLET SIZE:165X165
-DURATION:23","-EQUIPMENT:TAIL BRAKER 1B
-SECTION:16 mm
-PROBLEM DESCRIPTION:COBBLE DUE TO TAIL BRAKER 1B OUT OF POSITION.
-RESTART STEPS:DRIVE RESET AND COBBLE REMOVED
-1Y:DRIVE TRIPPED IN SPEED FEEDBACK ERROR
-2Y:SET SPEED VS  ACTUAL SPEED MISMATCH 
-3Y:nan
-4Y:nan
-5Y:nan
-CORRECTIVE ACTION:ENCODER CONNECTION, COUPLING AND BREAK SUPPLY CHECKED AND FOUND OK
-PREVENTIVE ACTION:1. ENCODER COUPLING TO BE REPLACED
 (TO BE KEPT IUNDER OBSERVATIONFOR NEXT 7 DAYS AS NO DEVIATION IN MECH AND ENCODER FOUND)
-ACTUAL ACTION TAKEN:ENCODER COUPLING NOT REPLACED AS IT IS OK , DEIVE TRIPPED MAY BE DUE TO BAR STUCK DURING CYCLE"
13,2024-02-29,2024-02-29 20:29,2024-02-29 20:52,"-AREA:COOLING BED
-DEVICE:TWIN CHANNEL 1 A
-AGENCY:MECHANICAL
-REASON:MATERIAL HIT
-DESCRIPTION:BAR KNOCKED IN TWIN CHANNEL 1A. (1C). NOT ACCEPTED NEED TO REVIEW BY CAPA TEAM
-SIZE:8 mm
-BILLET SIZE:165X165
-DURATION:24","-EQUIPMENT:TWIN CHANNEL 1 A
-SECTION:8 mm
-PROBLEM DESCRIPTION:BAR KNOCKED IN TWIN CHANNEL 1A. (1C). NOT ACCEPTED NEED TO REVIEW BY CAPA TEAM
-RESTART STEPS:COBBLE REMOVED AND MILL STARTED
-1Y:UNDERSHOOT IN TWC 1 A
-2Y:TWIN CHANNEL TAKEN 180 DEG CYCLE DURING THAT HMD 28 IS STILL PRESENT
-3Y:MATERIAL HITTING AT ENTRY OF SECTION 2 TWC
-4Y:SECTION 2 GAP MORE THAN SECTION 1
-5Y:nan
-CORRECTIVE ACTION:1. GAP ADJUSTED OF SECTION 1 AND SECTION 2 VISUALLY, IN NIGHT BUT PROBLEM NOT SOLVED
2. 4 NOS. TONNLE PANEL CHANGED IN MORNING OF SEC 2 OF 1 A AND GAP ADJUSTED
-PREVENTIVE ACTION:1. WEEKLY CHECKLIST AND 8 MM START-UP CHECKLIST TO BE FOLLOWED  STRICTKLY BY ALL AGENCY

-ACTUAL ACTION TAKEN:nan"
14,2024-02-29,2024-02-29 23:08,2024-02-29 23:33,"-AREA:COOLING BED
-DEVICE:TWIN CHANNEL 1 A
-AGENCY:MECHANICAL
-REASON:MATERIAL HIT
-DESCRIPTION:BAR KNOCKED IN TWIN CHANNEL 1A. (1C). NOT ACCEPTED NEED TO REVIEW BY CAPA TEAM
-SIZE:8 mm
-BILLET SIZE:165X165
-DURATION:25","-EQUIPMENT:TWIN CHANNEL 1 A
-SECTION:8 mm
-PROBLEM DESCRIPTION:BAR KNOCKED IN TWIN CHANNEL 1A. (1C). NOT ACCEPTED NEED TO REVIEW BY CAPA TEAM
-RESTART STEPS:BAR KNOCKED IN TWIN CHANNEL 1A. (1C). NOT ACCEPTED NEED TO REVIEW BY CAPA TEAM
-1Y:COBBLE REMOVED AND MILL STARTED
-2Y:UNDERSHOOT IN TWC 1 A
-3Y:TWIN CHANNEL TAKEN 180 DEG CYCLE DURING THAT HMD 28 IS STILL PRESENT
-4Y:MATERIAL HITTING AT ENTRY OF SECTION 2 TWC
-5Y:SECTION 2 GAP MORE THAN SECTION 1
-CORRECTIVE ACTION:1. GAP ADJUSTED OF SECTION 1 AND SECTION 2 VISUALLY, IN NIGHT BUT PROBLEM NOT SOLVED
2. 4 NOS. TONNLE PANEL CHANGED IN MORNING OF SEC 2 OF 1 A AND GAP ADJUSTED
-PREVENTIVE ACTION:1. WEEKLY CHECKLIST AND 8 MM START-UP CHECKLIST TO BE FOLLOWED  STRICTKLY BY ALL AGENCY

-ACTUAL ACTION TAKEN:nan"
15,2024-03-01,2024-03-01 06:36,2024-03-01 07:07,"-AREA:COOLING BED
-DEVICE:TWIN CHANNEL 1 A
-AGENCY:MECHANICAL
-REASON:MATERIAL HIT
-DESCRIPTION:COBBLE DUE TO MATERIAL HIT AT TWIN CHANNAL 1A.
-SIZE:8 mm
-BILLET SIZE:165X165
-DURATION:31","-EQUIPMENT:TWIN CHANNEL 1 A
-SECTION:8 mm
-PROBLEM DESCRIPTION:COBBLE DUE TO MATERIAL HIT AT TWIN CHANNAL 1A.
-RESTART STEPS:BAR KNOCKED IN TWIN CHANNEL 1A. (1C). NOT ACCEPTED NEED TO REVIEW BY CAPA TEAM
-1Y:COBBLE REMOVED AND MILL STARTED
-2Y:UNDERSHOOT IN TWC 1 A
-3Y:TWIN CHANNEL TAKEN 180 DEG CYCLE DURING THAT HMD 28 IS STILL PRESENT
-4Y:MATERIAL HITTING AT ENTRY OF SECTION 2 TWC
-5Y:SECTION 2 GAP MORE THAN SECTION 1
-CORRECTIVE ACTION:1. GAP ADJUSTED OF SECTION 1 AND SECTION 2 VISUALLY, IN NIGHT BUT PROBLEM NOT SOLVED
2. 4 NOS. TONNLE PANEL CHANGED IN MORNING OF SEC 2 OF 1 A AND GAP ADJUSTED
-PREVENTIVE ACTION:1. WEEKLY CHECKLIST AND 8 MM START-UP CHECKLIST TO BE FOLLOWED  STRICTKLY BY ALL AGENCY

-ACTUAL ACTION TAKEN:nan"
16,2024-03-01,2024-03-01 07:50,2024-03-01 08:41,"-AREA:COOLING BED
-DEVICE:TWIN CHANNEL 1 A
-AGENCY:MECHANICAL
-REASON:MATERIAL HIT
-DESCRIPTION:COBBLE DUE TO MATERIAL HIT AT TWIN CHANNAL 1A.
-SIZE:8 mm
-BILLET SIZE:165X165
-DURATION:52","-EQUIPMENT:TWIN CHANNEL 1 A
-SECTION:8 mm
-PROBLEM DESCRIPTION:COBBLE DUE TO MATERIAL HIT AT TWIN CHANNAL 1A.
-RESTART STEPS:BAR KNOCKED IN TWIN CHANNEL 1A. (1C). NOT ACCEPTED NEED TO REVIEW BY CAPA TEAM
-1Y:COBBLE REMOVED AND MILL STARTED
-2Y:UNDERSHOOT IN TWC 1 A
-3Y:TWIN CHANNEL TAKEN 180 DEG CYCLE DURING THAT HMD 28 IS STILL PRESENT
-4Y:MATERIAL HITTING AT ENTRY OF SECTION 2 TWC
-5Y:SECTION 2 GAP MORE THAN SECTION 1
-CORRECTIVE ACTION:1. GAP ADJUSTED OF SECTION 1 AND SECTION 2 VISUALLY, IN NIGHT BUT PROBLEM NOT SOLVED
2. 4 NOS. TONNLE PANEL CHANGED IN MORNING OF SEC 2 OF 1 A AND GAP ADJUSTED
-PREVENTIVE ACTION:1. WEEKLY CHECKLIST AND 8 MM START-UP CHECKLIST TO BE FOLLOWED  STRICTKLY BY ALL AGENCY

-ACTUAL ACTION TAKEN:nan"
17,2024-03-01,2024-03-01 09:00,2024-03-01 10:41,"-AREA:COOLING BED
-DEVICE:TWIN CHANNEL 1 A
-AGENCY:MECHANICAL
-REASON:MATERIAL HIT
-DESCRIPTION:COBBLE DUE TO MATERIAL HIT AT TWIN CHANNAL 1A. FLAPPER CHANGED. DURING THIS STAND 11,12 PASS CHANGED, STAND 11, 14 AND BOTH BGV ALL RE GUIDE CHANGED.
-SIZE:8 mm
-BILLET SIZE:165X165
-DURATION:101","-EQUIPMENT:TWIN CHANNEL 1 A
-SECTION:8 mm
-PROBLEM DESCRIPTION:COBBLE DUE TO MATERIAL HIT AT TWIN CHANNAL 1A. FLAPPER CHANGED. DURING THIS STAND 11,12 PASS CHANGED, STAND 11, 14 AND BOTH BGV ALL RE GUIDE CHANGED.
-RESTART STEPS:BAR KNOCKED IN TWIN CHANNEL 1A. (1C). NOT ACCEPTED NEED TO REVIEW BY CAPA TEAM
-1Y:COBBLE REMOVED AND MILL STARTED
-2Y:UNDERSHOOT IN TWC 1 A
-3Y:TWIN CHANNEL TAKEN 180 DEG CYCLE DURING THAT HMD 28 IS STILL PRESENT
-4Y:MATERIAL HITTING AT ENTRY OF SECTION 2 TWC
-5Y:SECTION 2 GAP MORE THAN SECTION 1
-CORRECTIVE ACTION:1. GAP ADJUSTED OF SECTION 1 AND SECTION 2 VISUALLY, IN NIGHT BUT PROBLEM NOT SOLVED
2. 4 NOS. TONNLE PANEL CHANGED IN MORNING OF SEC 2 OF 1 A AND GAP ADJUSTED
-PREVENTIVE ACTION:1. WEEKLY CHECKLIST AND 8 MM START-UP CHECKLIST TO BE FOLLOWED  STRICTKLY BY ALL AGENCY

-ACTUAL ACTION TAKEN:nan"
18,2024-03-02,2024-03-02 13:16,2024-03-02 13:49,"-AREA:COOLING BED
-DEVICE:TWIN CHANNEL 1 B
-AGENCY:MECHANICAL
-REASON:MATERIAL HIT
-DESCRIPTION:UNDERSHOOT IN LINE.1B. (1C+1H)
Material of about 15 mtr length found in twc-1b after tail braker found straight and no hitting observed,need to discuss in capa.
-SIZE:8 mm
-BILLET SIZE:150X150
-DURATION:34","-EQUIPMENT:nan
-SECTION:nan
-PROBLEM DESCRIPTION:nan
-RESTART STEPS:nan
-1Y:nan
-2Y:nan
-3Y:nan
-4Y:nan
-5Y:nan
-CORRECTIVE ACTION:nan
-PREVENTIVE ACTION:nan
-ACTUAL ACTION TAKEN:nan"
19,2024-03-06,2024-03-06 12:42,2024-03-06 13:17,"-AREA:COOLING BED
-DEVICE:TAIL BREAKER 2_2A
-AGENCY:MECHANICAL
-REASON:Low pressure Regulator malfunctioning
-DESCRIPTION:TB.2A PNEUMATIC CYLENDER CHANGED DUE TO LOW PRESSURE FOUND (4.8 BAR) DURING SIMULATION.
-SIZE:12 mm
-BILLET SIZE:165X165
-DURATION:35","-EQUIPMENT:TAIL BREAKER 2_2A
-SECTION:12 mm
-PROBLEM DESCRIPTION:TB.2A PNEUMATIC CYLENDER CHANGED DUE TO LOW PRESSURE FOUND (4.8 BAR) DURING SIMULATION.
-RESTART STEPS:PNEUMATIC CYLINDER CHANGED AND MILL STARTED
-1Y:LOW AND HIGH PRESSURE NOT ACHIIEVING AS 0 BAR AND MORE THAN 5 BAR
-2Y:PNEUMATIC CYLINDER NOT WORKING PROPERLY
-3Y:PISTON FOUND BROKEN
-4Y:nan
-5Y:nan
-CORRECTIVE ACTION:SPARE PNEUMATC CYLINDER TO BE MADE READY AND TESTED
-PREVENTIVE ACTION:1. NEED TO DO DP TEST FOR ALL THE AVAILABLE SPARES TO CHECK OTHER SPARES, IFANY DEVIATION IS THERE OR NOT 
2. MAIL TO BE SENT TO DANIELI FOR PROBABLE ROOT CAUSE OF FAILURE
3. MATERIAL SAMPLE TO BE CHECKED
-ACTUAL ACTION TAKEN:nan"
